content,followers,following,retweet,created_at,troll
@MashiRafael Asustado te veo ladrón! Irás a la cárcel!,0,0,False,2019-08-07 21:16:33,True
@MashiRafael La década saqueada y robada maldito ladrón!,0,0,False,2019-08-07 21:15:41,True
@Guaytamba_LDU @LDU_Oficial Genial! Hablamos por whats??
😊,0,0,False,2019-07-27 09:08:00,True
@MashiRafael Cárcel para todos los alcahuetes que taparon toda la corrupción y asesinatos durante la década robada. Ladrón caretuco!,0,0,False,2019-06-10 00:03:52,True
@MashiRafael Ya valió el Liverpool gracias al salero con patas!,0,0,False,2019-05-08 14:19:16,True
@MashiRafael Ahí es donde vas a parar LADRÓN!,0,0,False,2019-05-08 14:18:33,True
@MashiRafael Traduce tu mismo! Eres una bestia para el inglés!,0,0,False,2019-05-07 21:39:30,True
@MashiRafael Y el abuso de justicia y poder que hubo en la década saqueada?? Ladrón! Caretuco!,0,0,False,2019-05-06 19:21:18,True
@MashiRafael Cuando te "sacrificas" tu?? El Ecuador entero lo espera!,0,0,False,2019-04-17 16:49:09,True
@MashiRafael Lo que queremos es que tu acabes en la cárcel por el saqueo de 10 años con tu banda de delincuentes y por todas las muertes que se dieron en la década robada!,0,0,False,2019-04-17 10:02:40,True
@MashiRafael El que deberia ir preso es usted  xq no solo fueron esos depositos y usted lo sabe,0,0,False,2019-08-08 13:01:02,True
@MashiRafael Cuanto le habra ofrecido para que no lo acuse ya q haci compraba usted a la justicia y si no se acogian a la coima 🤔🤔🤔🤔🤔🤔,0,0,False,2019-08-07 11:06:06,True
@MashiRafael Que sinismo al decir eso o se olvida que fue usted y sus allegados que mandaron a la quiebra al IEES 🐀🐀🐀🐀🐀,0,0,False,2019-08-06 12:46:48,True
@MashiRafael Que sinismo! De que dinero invertido habla; no se supone q en su gobierno esa obra se iva a entregar tanto dinero de los ecuatorianos para mas de solo adecuar el terreno.....
¿A donde fue todo ese dinero de sobre precio?,0,0,False,2019-08-01 11:09:32,True
@MashiRafael Sinico sinverguenza al decir eso chuta que mayor prueba el que muchos de lo que estuvieron en su gobierno an uido del pais y muchos aca estan metido en casos de corrupcion 🐀🐀🐀🐀🐀,0,0,False,2019-07-28 15:47:23,True
@MashiRafael Que sinismo al hablar de quien tiene el ego elevado 🐀🐀🐀 que yo sepa el señor carlos vera le esta diciendo la verdad 🤷‍♂️🤷‍♂️🤷‍♂️,0,0,False,2019-07-25 13:16:22,True
@MashiRafael Inmoral https://t.co/gDTj5KzneD,0,0,False,2019-07-24 14:16:21,True
@MashiRafael El ex vicepresidente y si esta hay es por 🐀🐀🐀🐀🐀,0,0,False,2019-07-23 11:00:59,True
@MashiRafael 🐀🐀🐀,0,0,False,2019-07-21 14:48:13,True
@MashiRafael En su gobierno no aparecia  muchas cosas,0,0,False,2019-07-20 16:20:30,True
@callimanta Investiguen quien está llevándose la comisión!!!!!,1,1,False,2019-07-14 20:55:04,True
@KevinChalco44 Y esto???... ladrones negociando con ladrones???.. q humillación y vergüenza!!!!!,1,1,False,2019-07-14 20:47:46,True
@MashiRafael Eso tuvimos q soportar; oligarcas con poder q = q un cretino con poder se creen sobre la ley; le quitaron la teta les daba diarrea desaber q los pobres eran atendidos; ahora con engaños y los medios d desinformación quieren recuperar lo q no pudieron seguir robando; viva Rafael,1,1,False,2019-07-14 20:44:54,True
@davalos2019 Quien habla de rabiosa... una oligarca prepotente que al igual que un cretino con poder; defendiendo sus intereses con amarres.... utiliza sus títeres y los medios de desinformación......,1,1,False,2019-07-14 20:31:34,True
@cviterigualinga Esta es la verdadera cara de la prepotencia de los adinerados... un ignorante o un cretino con poder y con dinero solo representa a la vieja oligarquía prepotente....,1,1,False,2019-07-14 20:27:03,True
RT @ramiroaguilart: Esto es lo que jamás entendió la derecha https://t.co/FaZ9KvsZ1i,1,1,False,2019-07-04 03:29:16,True
@ramirocevallosr @PaolaPabonC @ANT_ECUADOR @elcomerciocom @ObrasPublicasEc @Lenin @PichinchaGob Por favor infórmense bien....,1,1,False,2019-07-04 03:27:14,True
@DESPIERTA_AWAKE Tarea de sinvergüenzas...,1,1,False,2019-06-15 00:14:39,True
@MashiRafael Bien respondido... no hay q permitir a esta gente que siga esparciendo la pus de su heridas en el ego....,1,1,False,2019-06-15 00:12:39,True
@MashiRoberto Mentirosos... así se empieza el robo,1,1,False,2019-06-15 00:10:49,True
RT @MashiRafael: ¿Quedará todavía en Ecuador una autoridad decente que verifique si este documento es auténtico y actúe en consecuencia?
Lo…,2,2,False,2019-08-17 13:22:19,True
RT @MashiRafael: Esta semana nuevo secretario de Senescyt; Agustin Albán; cambió rector de Yachay; el griego Spiros Agathos (eminencia mund…,2,2,False,2019-08-17 13:22:01,True
RT @Vanity_Sexx: https://t.co/jygVmg7ZfB,2,2,False,2019-08-13 11:13:45,True
RT @MashiRafael: ¡Chuta! De los “15 millones de dólares en sobornos” me han dado...¡$6.000 dólares!!!
¿No les da vergüenza ser tan ridículo…,2,2,False,2019-08-08 15:12:20,True
RT @MashiRafael: Realmente; el anticorreísmo descerebra.😊 https://t.co/MInwq3UN4N,2,2,False,2019-08-08 15:11:39,True
RT @MashiRafael: Cuando se trata de justificar lo injustificable:
- “No tienen plata”; pero se van de vacaciones... ¡a Casa Blanca! (yo ni…,2,2,False,2019-08-05 15:59:45,True
RT @mabsegovia: #Inversiones Gobierno de LM anunció inversiones por $14.000 millones para Ecuador / 2019 la inversión extranjera cayó un 60…,2,2,False,2019-07-22 03:25:48,True
RT @MashiRafael: ..Buscaré en próxima Convención resolución PROHIBIENDO los regalos.
Los compas de Ecuador; me trajeron medio Supermaxi. Lo…,2,2,False,2019-06-26 15:27:11,True
RT @MashiRafael: Tierra hermosa de mis sueños
donde vi la luz primera; donde ardió la inmensa hoguera de mi ardiente frenesí; de tus plácid…,2,2,False,2019-06-26 15:26:27,True
RT @LEXKANDER: Que gracioso

Cómo el cura @jcarlostuarez Presidente del @CPCCS no cumple  caprichos de Politiqueros ladrones @teleamazonase…,2,2,False,2019-06-25 22:19:56,True
@DrMiriamestrada @mmcuesta Jajaja me encanto "niña piense" no se les puede pedir mucho xq explotan,0,0,False,2019-08-01 16:48:36,True
@MashiRafael Gracias Rafael.. hiciste lo q nadie se atrevió por eso te odian. Pero los q creemos en ti lo haremos siempre.. los leales; no como ese señor de la silla.,0,0,False,2019-07-16 12:08:08,True
@JorgeGlas Fuerza Viceapresidente Constitucional de la Republica Elegido por el pueblo; no a dedo como otros😒.. esa brutal derecha caera tarde o temprano.,0,0,False,2019-07-14 02:03:43,True
@Xapime Increible todo lo q esta pasando...,0,0,False,2019-07-06 01:06:37,True
@ramiroaguilart @MashiRafael @Lenin Sin ser brillante se notaba que Lenin no le llegaba a los talones de @MashiRafael pero a este punto tampoco.desde que está de presi y obtuvo el apoyo de la derecha y medios cada vez se atonta más y abre la boca y es peor.Lastima!Pudo ser recordado como un grande. #EFIALTES,0,0,False,2019-06-28 21:24:49,True
@Xapime Nos mean y dicen q llueve🤮,0,0,False,2019-06-27 19:28:02,True
@Lenin INA PAPERS,0,0,False,2019-06-27 16:46:59,True
@mabsegovia Eliminaron el enlace,0,0,False,2019-06-27 13:57:45,True
RT @Xapime: Pero todo iba a ser maravilloso después de la eliminación del impuesto a la plusvalía... https://t.co/N23ifZgdNu,0,0,False,2019-06-19 03:55:09,True
@MashiRafael Compartimos el mismo sentimiento.. el pueblo sabe y agradece siempre lo q hizo por nosotros.,0,0,False,2019-06-19 03:42:34,True
@MashiRafael Robando a diestra y siniestra como siempre,0,0,False,2019-08-12 03:18:31,True
@MashiRafael Por la plata baila el mono hoy en dia el ecuador lo estan asalta do estan robando descaradamente y nadie ha e nada,0,0,False,2019-08-12 03:17:06,True
@MashiRafael Regresa mashi o el inutil de lardin se robara todo,0,0,False,2019-08-01 05:33:58,True
@veleznazarena Ese cura esta es un ignorante,0,0,False,2019-08-01 05:32:40,True
PESIMO EL PEOR DEL UNIVERSO UN ASCO https://t.co/kcJujk9gb7,0,0,False,2019-08-01 05:29:24,True
@Gamavisionecu Ok,0,0,False,2019-07-29 06:13:21,True
RT @Gamavisionecu: ¡Se acabó el fin de semana! 😱😥 Mira este tierno video; cuando un pequeño oso perezoso acaricia a una serpiente ¡No vas a…,0,0,False,2019-07-29 06:12:48,True
@Grafocafe Hola me podes decir que significa mi firma,0,0,False,2019-06-24 02:22:06,True
@VerdugaAbraham @MashiRafael @Lenin Lenin moreno = REEEEINUTIL BUENO PARA NADA,0,0,False,2019-06-16 00:14:55,True
@MashiRafael El inutil( moreno) esta reloco,0,0,False,2019-05-22 03:06:36,True
@FiscaliaEcuador @DianaSalazarM2 @RTSEcuador @notimundoec @PublicaFM @TelediarioEC @Expresoec @lahoraecuador @ecuavisa @ecuainm @eluniversocom @el_telegrafo Dra:Se cree invensible ;pero Dios y su justicia  es mas poderosa .,1,1,False,2019-04-18 22:42:49,True
RT @LuisaGonzalezEc: Cuánta equivocación; la lucha de @RicardoPatinoEC es la lucha de miles de miles de ecuatorianos a los que nos duele la…,1,1,False,2019-04-18 22:39:34,True
RT @MPerezTorres30: Oye tú..! @mariapaularomo ¿Qué vas a hacer con el chapa hijueputa y cobarde que patea a una mujer..?
¿O también es part…,1,1,False,2019-04-18 22:39:09,True
RT @kolectiVOZ: HOY #18Abr nos sumamos a la campaña #TodosSomosPatiño y compartimos con Uds esta entrevista realizada en enero donde conoce…,1,1,False,2019-04-18 22:38:10,True
RT @PesimoEcuador: @MashiRafael; esto era lo que se decía del Ecuador de la década ganada; hace apenas un año. 
Parece mentira que en tan p…,1,1,False,2019-04-18 22:37:15,True
@MashiRafael @PesimoEcuador Asi es ;quien sabe si le asesinaron .,1,1,False,2019-04-18 22:36:30,True
@MashiRafael Asi es mi Mashi ;querido. 
Me abri otra cuenta porque  me bloquiaron;por reclamar mis derechos como ciudadana  ecuatorians.
Pero este gobierno no;pasara.,1,1,False,2019-04-18 22:35:17,True
https://t.co/1Swj8BgTdT,1,1,False,2019-04-18 22:32:33,True
@jcarlostuarez @AsambleaEcuador @CPCCS Sabes...por tu actitud desde el comienzo y tu prepotencia y tu sobradez; te ganaste el rechazo del pueblo ecuatoriano..te falto madurez y algo que promueven los hombres de fé; humildad,2,2,False,2019-08-16 23:46:49,True
@luisevivanco Son panas...son la misma cosa; todos sirven al mismo amo,2,2,False,2019-08-16 21:51:57,True
@tebosamaniego @estebanavila No estoy priorizando; cualquier delincuente tiene que pagar sus delitos..con confundas el contexto y si eres venezolano; haz quedar bien a tu país,2,2,False,2019-08-16 21:50:29,True
RT @4pelagatos4: #VIDEO | Fiscalía reabrió el caso de Froilán Jiménez. 26 funcionarios públicos fueron llamados a declarar; entre ellos; Ra…,2,2,False,2019-08-16 16:29:22,True
@VillaFernando_ @Lenin La misma practica abusiva y prepotente de su an tr ecesor; #Fuera Lenin; #Preso Correa preso,2,2,False,2019-08-16 16:23:01,True
@estebanavila De eso se trata; solo es una opinión; arriba la redonda,2,2,False,2019-08-16 16:16:52,True
@pichinchauniver @silviasalgadoan @GabrielaEsPais @CPCCS Que pena....a quien entrevistan; a gente sin calidad moral..asi pierden rating.,2,2,False,2019-08-16 16:04:38,True
@juanseroldan @CanalUnoTv @radiosonorama No les estan haciendo un favor; acaso que es plata de ustedes; el dinero es de los aportes; lo que pasa es que ustedes manejan el dinero ajeno como que fuera suyo; CON QUE DERECHO??????,2,2,False,2019-08-16 16:03:00,True
RT @emihuerta: Hola @ecuavisa que tal si a más de hacer novelas de la vida de Sharon y Kaviedes; se lanzan una de José Joaquín de Olmedo; A…,2,2,False,2019-08-16 14:19:36,True
@cesarlitardo @AsambleaEcuador @TvlEcuador @JohnSalcedoC @LaRadioAsamblea @DrCamiloSalinas @Gober_LosRios @GadQuevedo @martinezjg @ObrasPublicasEc Bla bla bla bla bla mientras tanto en las calles....robos y delitos a millares surgir,2,2,False,2019-08-16 14:17:30,True
Lula da Silva; sobre las críticas de Bolsonaro al kirchnerismo: "No puedo creer que un presidente de Brasil tenga la insensatez de ofender al pueblo argentino" - Infobae https://t.co/XBU4wv4N0Y,1,1,False,2019-08-17 03:14:53,True
