content,followers,following,retweet,created_at,troll
status de visita: 7 pessoas viram esse perfil https://t.co/HhCjhOR1YO,940,1619,False,2019-08-17 14:36:17,False
seu perfil foi visto por 5 pessoas nas últimas 6 horas https://t.co/HhCjhOR1YO,940,1619,False,2019-08-16 18:26:11,False
Mi guapo!!! 😻😻😻 https://t.co/RdLm9g6lzo,940,1619,False,2019-08-16 15:08:22,False
última atualização de visitantes do meu perfil https://t.co/HhCjhOR1YO,940,1619,False,2019-08-15 22:16:16,False
1 pessoa acaba de visitar seu perfil https://t.co/HhCjhOR1YO,940,1619,False,2019-08-15 02:06:25,False
2 pessoas estão visualizando seu perfil https://t.co/HhCjhOR1YO,940,1619,False,2019-08-14 05:56:09,False
1 pessoa acaba de visitar seu perfil https://t.co/HhCjhOR1YO,940,1619,False,2019-08-13 09:46:25,False
Muñecooo!! 😻😻😻 https://t.co/MSlHHtuAGV,940,1619,False,2019-08-13 00:57:46,False
Lo que hagas; hazlo con el corazón. Tal vez la persona no se acuerde; pero la vida si.. 📌🍃,940,1619,False,2019-08-12 14:57:38,False
status de visita: 7 pessoas viram esse perfil https://t.co/HhCjhOR1YO,940,1619,False,2019-08-12 13:37:13,False
RT @CarlosVerareal: Celebro decisión de @IvanGrandaM al declinar ser Gobernador del Azuay;que le permitía mayor cercanía a sus hijos;para c…,375,976,True,2019-06-21 17:50:25,False
Ahttps://share.pubgameshowtime.com/showimage.php?cdn=2&amp;gameid=1320&amp;image=test&amp;title=titlecontent&amp;descript=descriptcontent https://t.co/g3tEoY9uCN,375,976,False,2019-06-14 02:04:42,False
https://t.co/2soGcV6dzY https://t.co/GnYpHKFW3B,375,976,False,2019-06-14 02:04:25,False
https://t.co/2soGcV6dzY https://t.co/IEsJC1RTo5,375,976,False,2019-06-14 02:04:18,False
RT @elcomerciocom: #ATENCIÓN | Salen a la luz correos de Pamela Martínez; exasesora del despacho de Correa; con Geraldo Pereira de Sousa; d…,375,976,True,2019-06-10 23:13:58,False
@RuthAveros Gracias Dra. @RuthAveros,375,976,False,2019-06-10 04:20:06,False
@bonete_julio Gracias mi amigo.,375,976,False,2019-06-10 04:19:07,False
21k media maratón Salinas. Excelente. https://t.co/WE3tXr07PY,375,976,False,2019-06-09 19:53:04,False
RT @caanmichelena: Es momento de que todos los ecuatorianos en cada rincón del país tengan acceso; de la mejor calidad; a todas las tecnolo…,375,976,True,2019-05-31 13:28:26,False
RT @ESPNBike: #ESPNBike ¡UNA LO-CU-RA! 😍 Lo de Richard #Carapaz ya no tiene explicación: ¡la gente lo ama y se lo hace saber en el #GIROxES…,375,976,True,2019-05-31 13:25:34,False
@Javier71097181 @PCaterianoB @CesarNakazaki @MindefPeru Le. Inventan zonzeras a Fujimori c el fin d borrarlo d la historia del Peru ._pruebas imbeciles,59,137,False,2019-08-16 03:35:40,False
@silviaarasakig1 @JVillaStein PARECE QUE LA GENTE SE ESTA DANDO CUENTA COMO ES LA NUEZ;ESTAMOS A TIEMPO DE EVITAR EL PERUZUELA,59,137,False,2019-08-15 01:49:44,False
@ugluis YA NO ESTARA EL INEPTO,59,137,False,2019-08-14 23:25:04,False
@ugluis @JVillaStein PRIMERO QUE DIGAN QUIENES LOS MANTIENEN;CON CUANTOS MILLONES DE DOLARES Y COMO SE REPARTE ESA PLATA Y CON QUE FIN(INSTALAR EL COMUNISMO EN EL PERU ? ),59,137,False,2019-08-14 23:19:48,False
@llerena_julia @JVillaStein Huy ;que miedo;el Dr Villa Stein;esta que se tiembla (eso crees arrastrado),59,137,False,2019-08-14 22:58:16,False
@Weps_UNAS @cdebessa @RichardArcePeru @MartinVizcarraC @ideeleradio Con la cara de cojudon . es el gran vivo que se agarra al "pueblo" dandose cuenta que el pueblo somos todos;claro ;incluidos engañados y comunistas,59,137,False,2019-08-14 22:50:48,False
@cdebessa @CharitoABC EL FRAUDE DEL 2016 LOS UNIO HASTA LA MUERTE,59,137,False,2019-08-14 22:34:07,False
@canalN_ Pueda ser que no le saquen" anticuchos " a la jueza para q no la chantajeen PQ ODEBRECHT TIENE UNOS PUNTEROS ....,59,137,False,2019-08-14 01:57:51,False
@blogcyh @rosamariabartra @congresoperu HOY SE MUERE DE CHUCAQUE ;BOTANDO VERDE;LA MADRASTRA,59,137,False,2019-08-14 00:03:44,False
@Gatitadelsur @choquecurat Y ESO;QUE A MUCHA GENTE NO  DEJAN ENTRAR ; ;ENVIDIOSOS,59,137,False,2019-08-14 00:00:24,False
@bombonamazonic culito es la 2da excitación que tiene la mujer,11,562,False,2019-08-04 15:57:06,False
@bombonamazonic :3 :3,11,562,False,2019-08-03 14:57:09,False
@bombonamazonic en la cara lo es todo tefy,11,562,False,2019-07-25 22:47:30,False
@anniesexteenpsm colita mami :3,11,562,False,2019-07-19 20:58:27,False
@bombonamazonic En una; ya estamos ahí,11,562,False,2019-07-19 15:24:39,False
@bombonamazonic es bellisimo el corazoncito :3,11,562,False,2019-06-30 19:35:57,False
@bombonamazonic si; pero casi me denuncia xd,11,562,False,2019-06-30 19:34:49,False
@bombonamazonic si estamos cerca si; pero como no tengo esposa; a darle no más xdd,11,562,False,2019-06-25 14:37:40,False
@bombonamazonic desde pucallpa wujuuuu !,11,562,False,2019-06-14 02:07:04,False
Excelente fin de semana :D 😄😄😄 https://t.co/geagoEtLeP,11,562,False,2019-05-26 04:07:45,False
RT @PeruNews: Del Solar: No escucho la misma firmeza para hablar de seguridad jurídica ante la corrupción. https://t.co/0UJilTmKwV,198,71,True,2019-08-17 22:40:17,False
EQUIVOCADA@msalazarcongres.No fueron los 80 entre 1990-2000 cuando los asesinos Fujimori-Montesinos incendiaron el Bancod'la Nación;y los hijos de...le echaron la culpa a los"terroristas".Ellos mismos https://t.co/BKFzDILvqH final;los congresistas d'ahora sonTERRORISTAS D'ESTADO. https://t.co/o6jeykrROO,198,71,False,2019-08-17 22:39:28,False
