screen_name,tweet,favorite_count,retweet_count,reply_to,n_user_mentions,n_hashtags,n_urls,user_mentions,hashtags
CatherineCruzB,"@Solano @ddbourne @GrandesGenios @MauricioJaramil @santiagopinzong @sebasgrisalesr @Albornoz @AmigosTic @JoseCarlosTecno @alexricand @Ktykbarrero @TuyoIsaza Ellos siempre con su magia y su pasión #HaciendoQueLasCosasPasen ❤️ #DigitalTransformaSocorro https://t.co/e5WMByzCf8",0,0,Solano,8,0,1,"Solano;ddbourne;GrandesGenios;MauricioJaramil;santiagopinzong;sebasgrisalesr;Albornoz;AmigosTic",""
jeffreymundial,"MIENTRAS EL JUGADOR ESTE EN EL PLANTEL VA A JUGAR @RadioHuancavilk https://t.co/5HnccUaI3F",0,0,,1,0,0,"RadioHuancavilk",""
dhanna,"@maggucha Y yo a ti; ❤",0,0,maggucha,1,0,0,"maggucha",""
jeffreymundial,"LO PRIMORDIAL ES QUE LOS JUGADORES TENGAN CONTINUIDAD" LEO RAMOS DT BSC @RadioHuancavilk https://t.co/Kjjl8OKxG5",0,0,,1,0,0,"RadioHuancavilk",""
WhympperB,"@rodolfolinAsH @ecuavisa Estamos en Ecuador...El país de gente que le permite llevar el pan a su familia. PARECE QUE SE LE ESTÁ OLVIDANDO.",0,0,rodolfolinAsH,2,0,0,"rodolfolinAsH;ecuavisa",""
AlexanderGouss1,"@mediglobalec Atienden los sábados?",0,0,mediglobalec,1,0,0,"mediglobalec",""
jeffreymundial,"LOS JUGADORES ESTAN CONFIADO EN LO QUE HACEN" LEO RAMOS DT DEL BSC @RadioHuancavilk https://t.co/eS1oT7dxFF",0,0,,1,0,0,"RadioHuancavilk",""
julio_francog,"😂😂😂😂 mucho patacón https://t.co/JQz91zY1M8",0,0,,0,0,0,"",""
giovannialv,"@910Danny @estebanavila Ese gol fue determinante; si pitaba penal; lo más probable era 1-1 y no 2-0 todos sabemos que Roddy Zambrano es polémico acá en Ecuador y afuera es parecido.",0,0,910Danny,2,0,1,"910Danny;estebanavila",""
agmoncayo,"@ChristianSuzuki tu el que baila",0,0,ChristianSuzuki,1,0,0,"ChristianSuzuki",""
Elizabe93733579,"Todo es grave pero lo del IESS NO PUEDE SER SOSLAYADO !!!POR EL AMOR A DIOS !!!",0,0,,0,0,0,"",""
daviru3,"@jguaido Si seria venezolano te mandaría a la re v ............ pero como soy ciudadano responsable y me identifico con la destrucción marcha tu mamahuevo y deja de lamer culos cubanos y chavistas. Saludos desde Ecuador coño e tu madre.",0,0,jguaido,1,0,1,"jguaido",""
oasis_gye,"@mont_perez @IdentidadMorCom Pues todos los que utilizamos esas aplicaciones estamos con esos inconvenientes",0,0,mont_perez,2,0,0,"mont_perez;IdentidadMorCom",""
anaparragaprado,"@JimmyCobos Que imprudente esa mujer.. https://t.co/BDnwjlfxVW",0,0,JimmyCobos,1,0,0,"JimmyCobos",""
oasis_gye,"@CalebCa42687159 10am",0,0,CalebCa42687159,1,0,0,"CalebCa42687159",""
reiber_1980,"Clarín",0,0,,0,0,0,"",""
jedi_re,"Marco!!!! @officialcafu",0,0,,1,0,0,"officialcafu",""
vittorioknox,"Cuando te pones a ver quienes son los "millones y millonas" se seguidores en twitter del chavismo jajajajajajaja https://t.co/hxaYfqGaZa",0,0,,0,0,0,"",""
Oswaldo_Bolo,"@JohanaPerleche https://t.co/lMvwukXWc6",0,0,JohanaPerleche,1,0,0,"JohanaPerleche",""
SUAREZALFONSO,"Marikis  bajémosle el sueldo a James y subamos el de Antanas! https://t.co/3UpqbS2XYh",0,0,,0,0,0,"",""
franklinsheto,"@elcomerciocom @CPCCS @eltonycash Porque cuando se hace políticos se llenan la trompa diciendo:"lucharé por los pobres de mi patria" y terminan con los bolsillos llenos? Váyanse a la 💩 politiqueros HPs",0,0,elcomerciocom,3,0,1,"elcomerciocom;CPCCS;eltonycash",""
Morenelli,"Mi compañerito de trabajo acaba de decir que si gana Perú nos lleva a comer a todos al Madam Tusan!! Vamos Perú!!🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪🇵🇪",0,0,,0,0,0,"",""
BetoYr,"@vanebuchelli @PENI_PLANE Que horrible que lo hacen día miércoles 😭",0,0,vanebuchelli,2,0,0,"vanebuchelli;PENI_PLANE",""
andre_chay,"Con razón no puedo ver porno.",0,0,,0,0,0,"",""
nellas08,"WhatsApp; Instagram y Facebook sufren problemas a nivel mundial con imágenes y otros contenidos multimedia  https://t.co/PgoILbDrVU",0,0,,0,0,1,"",""
djnelsonx,"@pedritoortizjr Pero a la gente en manifestaciones los reprimen con gas... no entiendo 🤔",0,0,pedritoortizjr,1,0,0,"pedritoortizjr",""
fabian142201,"@lecheychocogye encantado si califico...",0,0,lecheychocogye,1,0,0,"lecheychocogye",""
giovannialv,"Esto es lo que desean que los niños y niñas en los colegios los eduquen; de esta forma? Leo sus comentarios",0,0,,0,0,0,"",""
anaparragaprado,"@SantiagoI0I Hahahahahahahaha https://t.co/Fk5D73WxoF",0,0,SantiagoI0I,1,0,0,"SantiagoI0I",""
maemily10,"Corazón de melón @itslittlevale #LittleVale #KCAMexico",0,0,,1,2,0,"itslittlevale","LittleVale;KCAMexico"
yoli_happy123,"@BSCkleber Se la an pasado llorando x la Copa Amistosa más q los de liga lloran x una sanción al Kitu lloran x todo y dicen Disfrutalo sin llorar es igual a eso de la Gloria es de Cristo y en la cancha patean y putean q da miedo jajajajaja #DobleMoralCompañerito",0,0,BSCkleber,1,0,1,"BSCkleber",""
CatherineCruzB,"@sanpalqui Bendiciones bonitas para Sarita ❤️",0,0,sanpalqui,1,0,0,"sanpalqui",""
rpalaciosdillon,"@ATMGuayaquil Todos todos todos revisar en las calles y vías; duro con los "sabidos" infractores y abusivos...sigan así",0,0,ATMGuayaquil,1,0,0,"ATMGuayaquil",""
sebastianbander,"@RenyRomero18 @lebruje8 @ElianaCabrera9 @Amparo_Medina @lilyariasok @Canidza @JulietaSagnay @KrystelEstrella @Litardo_Loor @ConParticipa @rosannaoficial @QuitoProvida A pues si es así entonces q pena. Cuando tengam más premios nobeles hablamos.",0,0,RenyRomero18,8,0,1,"RenyRomero18;lebruje8;ElianaCabrera9;Amparo_Medina;lilyariasok;Canidza;JulietaSagnay;KrystelEstrella",""
chriszam23,"Este señor es mas que Alves! IDOLO!",0,0,,0,0,0,"",""
PabloElmoni,"@IsmaelUlloa11 Juntos y revueltos? Par de ratas están en el día y en la noche. CJ Arrosemena clarito le dijo al dieguito;yo soy borracho pero no maricón;🤔 quién monta eso es entre ellos. Pero su revuelco los paga la CIA;aplaude el judas y bendice la prostituida iglesia.",0,0,IsmaelUlloa11,1,0,1,"IsmaelUlloa11",""
CatMailsa,"@minipunk 👌",0,0,minipunk,1,0,0,"minipunk",""
melissaszamorah,"definitivamente a la gente no le calza NADA🤦🏻‍♀️",0,0,,0,0,0,"",""
Motormacsa,"Todo lo que necesitas para tu Vehiculo. #0994429656📱✅ #0959989692📲📱 en Motormac Venta de Repuestos &amp; Accesorios https://t.co/ueARUCunBZ",0,0,,0,0,1,"",""
shotauke_y_seme,"@_SaberArturia Y yo? Xdd",0,0,_SaberArturia,1,0,0,"_SaberArturia",""
giovannialv,"@malenaguerra Lo puede tener; lo que sucede es que el reglamento aceptado no puede cambiarse; no es un asunto de que lo tenga o no; eso no está en discusión.",0,0,malenaguerra,1,0,1,"malenaguerra",""
