screen_name,tweet,favorite_count,retweet_count,reply_to,n_user_mentions,n_hashtags,n_urls,user_mentions,hashtags,place
williamquezada7,"@ASINPAC Sabia reflexi0n",0,0,ASINPAC,1,0,0,"ASINPAC","",Cuenca
williamquezada7,"@CansadaDeLaCor1 @ruteandolatino @MashiRafael Fier0",0,0,CansadaDeLaCor1,3,0,0,"CansadaDeLaCor1;ruteandolatino;MashiRafael","",Cuenca
ilianabowen,"Todo es práctica!  ⚽ en Cuenca; Ecuador https://t.co/KUBnleJrCc",0,0,,0,0,1,"","",Cuenca
YannyIsHere,"#RespetoSectorSocialEc | Por la prestación de servicios públicos de calidad; que garanticen una atención integral y oportuna a favor de las grandes mayorías; yo le digo #NoAlCentralismoEc https://t.co/7xgquk8Ns0",0,0,,0,1,1,"","RespetoSectorSocialEc",Cuenca
YannyIsHere,"#EcuadorNoRetrocede | La prestación de servicios públicos descentralizados y desconcentrados en un estado democrático; es el mayor respaldo para que la ciudadanía pueda ejercer oportunamente los derechos consagrados en nuestra Constitución; por ello digo #NoAlCentralismoEc https://t.co/c961voIEb9",0,0,,0,1,1,"","EcuadorNoRetrocede",Cuenca
AndreCoronel_,"La prensa en #Ecuador 🤦🏻‍♀️ El #periodismo y su mal acostumbrado sensacionalismo. #fail",0,0,,0,3,0,"","Ecuador;periodismo;fail",Cuenca
williamquezada7,"@constanzapaler1 A veces si",0,0,constanzapaler1,1,0,0,"constanzapaler1","",Cuenca
YannyIsHere,"Los coherentes decimos: #NoAlCentralismoEc #EcuadorNoRetrocede #RespetoSectorSocialEc https://t.co/mw23EnKoVB",0,0,,0,3,0,"","NoAlCentralismoEc;EcuadorNoRetrocede;RespetoSectorSocialEc",Cuenca
kevinchaveznarv,"Necesito amigos que les guste UFC",0,0,,0,0,0,"","",Cuenca
5valeReinoso,"Night ¡ 👠💄#sportaddict #sportstyle #instagym #athleticapparel #gymjunkie #gymswag #gymmotivation #gymlife #gymwear #thefitlife #fitnessfashion #fitfam #fitnesslifestyle #fitnessphotography #fitnessmaster #fitgirl… https://t.co/A9PKbw3ZDr",0,0,,0,9,1,"","sportaddict;sportstyle;instagym;athleticapparel;gymjunkie;gymswag;gymmotivation;gymlife;gymwear",Cuenca
ErresaaEc,"Consultores Académicos en todas las áreas  de titulación https://t.co/M2aUnUPNtw consulta nuestros servicios en línea en Cuenca; Ecuador https://t.co/MRYAglwqGT",0,0,,0,0,2,"","",Cuenca
kevinchaveznarv,"Hahahahahahahaha donde estoy viendo aun no se acaba la pelea 💔",0,0,,0,0,0,"","",Cuenca
