screen_name,following,followers,favourites_count,verified
dracarlatorres,1002,180,2220,False
williamquezada7,421,551,13082,False
HugoNobyto,1221,202,6189,False
i_hesiodus_i,327,988,195,False
Patricia_ecua,292,486,13770,False
ilianabowen,694,473,3663,False
YannyIsHere,83,980,15341,False
AndreCoronel_,1074,1635,100,False
RonalDreadlock,18,0,38,False
JFECHEV,2778,3285,25365,False
edgardust,731,791,260251,False
alejoconocer1,400,105,128,False
kevinchaveznarv,140,38,3312,False
Juliiann0,37,702,409,False
valpads,1016,623,337,False
5valeReinoso,161,127,3763,False
hecola6,580,1621,5789,False
ErresaaEc,658,108,219,False
Ecuagallos,1246,902,7170,False
hxblich,120,1476,28438,False
ann_belenqp,52,32,1654,False
Leoparsky,1549,383,7075,False
PoliticColombia,4785,1024,15605,False
Lauradarks,348,515,2048,False
Guille_Sero,99,289,14095,False
jualomal2,831,258,55210,False
c_delvallel,1469,554,28188,False
fremont1963,688,244,52899,False
aoleasp,638,1207,10376,False
LiraMelo3,168,57,11046,False
FranklinNuques,979,2240,73296,False
mifutbolecuador,64,3414,213,False
catasubirana,3011,22205,65156,False
cccrosemberg,8,6755,338,False
AndreDecintonio,859,1415,24824,False
byron_estrella,1077,531,1392,False
ElizabethJuditt,23,38,307,False
CopacePeru,844,550,12701,False
BSC_The_Pacho,946,1326,21788,False
DianiRomeroS,298,167,11837,False
xio_carol,711,1129,68645,False
xavi_torres1,448,518,694,False
Oscar10Patino,783,1242,11343,False
Daniel_andresc5,2908,1192,14697,False
Casanova62,4968,3645,21188,False
niicoletoral,508,620,12284,False
tavojc11,183,76,172,False
aamm20162017,1767,101019,4107,False
ESMERAL59992164,211,40,1665,False
juanpaloyola,621,677,387,False
OlguitaGuacan,116,123,208,False
santhros,309,296,4339,False
mipaisyelmundo,4041,1062,2344,False
joaquintw,260,154,2679,False
cARLozmagno,499,196,3908,False
EmilioPinargote,207,253524,20,False
MiguelEras,444,709,59070,False
meganethor12,306,529,1104,False
davidceva30,69,1659,8000,False
NicoleAlvarezM,437,1245,504,False
GinoMayCry,1157,951,48356,False
YersiAlvarado,1092,677,21864,False
margarita_toral,143,25,79,False
82c16dae39544d8,407,236,1405,False
Pamelaortiza025,338,171,1649,False
SAWTVHD,4833,355,3176,False
ABGrossana18,3788,7668,18506,False
grillo_marino,20,17,1455,False
Pauulgomez,1632,1435,1769,False
CCriolloHuaman,104,595,831,False
gabrielafonmur,28,5,15,False
DelPatibulo,322,141,314,False
ortizleiser,17,5,176,False
JordamnIt_,799,596,2646,False
Nativoamerican3,53,8,628,False
CienfuegosKarol,181,129,1449,False
F_Ghilardi,984,1340,4959,False
Davestrada,924,309,3571,False
AdamVBustamante,518,17,193,False
crespomt,624,559,24048,False
alejandrofeder9,136,58,572,False
edith_valen,316,142,27621,False
patriciovimos88,490,1166,26040,False
ahartleys,1956,418,8410,False
paulsanzfrz,229,131,4083,False
Jorgcaceres,575,391,1095,False
mauipalacios,619,358,3717,False
chinoverag,247,148,3172,False
Adv87Ale97,416,52,15,False
Joelrios44,251,344,663,False
AracellyZZ,4396,519,2149,False
karlapazsanchez,401,161,6,False
JuanChauTv,132,86,248,False
guillebaldwin,19,10,3,False
ddelgadop91,165,576,10141,False
JulioMancillaB,513,709,3538,False
GUSTAVOMIRAV,4974,942,40378,False
TenPantalla,266,109,1965,False
leogazar,1909,1721,1755,False
Noe_Calle,367,210,21968,False
Masquefut,185,126,2877,False
xavisanchez74,61,135,1906,False
Pcasbri,1384,1616,35750,False
gabochicken,403,70,331,False
breakitdown1307,344,101,1857,False
Alex__Jose,217,34,54,False
gisela1930,1857,366,20401,False
josue8junio,1098,346,8121,False
Andresfer0819,4865,1272,41407,False
GeraMolinaresO,338,706,12526,False
Liliana66386114,4994,396,9051,False
Gerardomat,754,325,1289,False
BeteMartin,1836,352,634,False
KathSanMartin,925,392,1698,False
Robertocs7,3322,863,38467,False
xsancheza,1621,1363,9233,False
SUAREZALFONSO,6656,10293,7798,False
Minugrafarezgm1,130,4,6,False
GaetanoLoHace,9796,40792,28786,False
motslecher,399,75,1063,False
respsocialunmsm,163,119,3,False
PedroRi18516240,44,31,257,False
Grettubela,135,234,9443,False
gentebonitaperu,244,624,14340,False
eliana_dca,974,466,7082,False
margarita2936,1409,1289,3288,False
arwen_eli,231,334,1140,False
HIJAdeD69611638,5,2058,71427,False
henrycanales,1038,351,1160,False
EliNyki7,223,136,17752,False
PierinaFinetti,279,512,7806,False
tenenciallacao,31,18,77,False
apecedobleve,219,314,3729,False
PepeGranja_,665,327,783,False
soyalejo_10,172,67,2524,False
jchavezcano,175,14,999,False
TONIORELLANADJ,905,276,58,False
vjmao27,113,34,292,False
nathalieabroad,11310,11595,98,False
karenisabelM,922,1228,4199,False
googuns_lulz,1,251,0,False
katelbruner,46,8,27,False
ECU911Austro,762,126202,3933,False
Ecu911Macas,461,7257,5556,False
manuen_,942,1349,17046,False
juanpmedinac,93,214,3345,False
yeiverano,451,145,229,False
wilocrespo,504,1248,809,False
andreita_rojasA,314,447,1728,False
EvangelSiempre,23,27,341,False
MetroLimaCallao,628,3625,11120,False
jorgdelgado,548,170,314,False
maitecevallosm,265,565,300,False
GuamanRobinson,23,2,51,False
AnneMBlock,574,500,6008,False
CalcanoElvin,531,235,3412,False
victorraul21,184,24,16,False
kyssyalex69,271,239,45,False
SINDICATO_IGAC,1594,1405,4106,False
pizzaomuerte,1134,373,11118,False
danilomariduena,155,1414,22415,False
Socioempleo_ec,208,22290,1307,False
Ahmed_Tesjeel,403,96,2206,False
subcero7ec,2853,358,4558,False
Pkmockepa23,876,92,2502,False
cbarco,1214,87,650,False
sanmiz69,445,54,12,False
556Juan,38315,36591,54933,False
AzuayConDorisS,1134,1531,200,False
GodosElejalder,303,24789,550,False
patoedg,1176,1047,43112,False
Alberto71141940,59,0,0,False
elhieloescrito,144,695,864,False
EDEC_EP,1562,6601,4086,False
JoseMontezino,20,0,0,False
RutaSurAQP1,36,36,30,False
GenaroQuizhpi,401,38,14,False
mishimy,314,60,17340,False
castroluis55,98,45,59,False
PEDRO_VASQUEZ27,5001,1767,48967,False
gallitohotspur,402,110,325,False
fernandoreino,98,12264,616,False
Drake7u7_,375,55,759,False
EsnaiderDiaz3,67,22,3236,False
epiove,1113,1419,7518,False
jsacoto,1745,539,1737,False
gabbydiazart,161,117,123,False
SR___99,141,111,2476,False
carriongaby,701,919,13874,False
marthanohora,1633,517,140,False
schmillinskyb,77,271,18764,False
chasetheHYPE,660,608,40019,False
andrestacle,2251,3498,3461,False
krugger65,2394,994,41323,False
BarakAgency,3,2,10,False
jhesva,3462,702,714,False
LorenaDurazno1,378,96,294,False
