screen_name,following,followers,favourites_count,verified
williamquezada7,421,551,13082,False
ilianabowen,694,473,3663,False
YannyIsHere,83,980,15341,False
AndreCoronel_,1074,1635,100,False
kevinchaveznarv,140,38,3312,False
5valeReinoso,161,127,3763,False
ErresaaEc,658,108,219,False
ann_belenqp,52,32,1654,False
Leoparsky,1549,383,7075,False
aoleasp,638,1207,10376,False
FranklinNuques,979,2240,73296,False
byron_estrella,1077,531,1392,False
BSC_The_Pacho,946,1326,21788,False
xavi_torres1,448,518,694,False
niicoletoral,508,620,12284,False
tavojc11,183,76,172,False
juanpaloyola,621,677,387,False
mipaisyelmundo,4041,1062,2344,False
EmilioPinargote,207,253524,20,False
MiguelEras,444,709,59070,False
margarita_toral,143,25,79,False
82c16dae39544d8,407,236,1405,False
Pamelaortiza025,338,171,1649,False
ortizleiser,17,5,176,False
paulsanzfrz,229,131,4083,False
mauipalacios,619,358,3717,False
Joelrios44,251,344,663,False
ddelgadop91,165,576,10141,False
JulioMancillaB,513,709,3538,False
xavisanchez74,61,135,1906,False
gabochicken,403,70,331,False
Gerardomat,754,325,1289,False
xsancheza,1621,1363,9233,False
Minugrafarezgm1,130,4,6,False
motslecher,399,75,1063,False
TONIORELLANADJ,905,276,58,False
juanpmedinac,93,214,3345,False
wilocrespo,504,1248,809,False
GuamanRobinson,23,2,51,False
CalcanoElvin,531,235,3412,False
Ahmed_Tesjeel,403,96,2206,False
subcero7ec,2853,358,4558,False
AzuayConDorisS,1134,1531,200,False
patoedg,1176,1047,43112,False
EDEC_EP,1562,6601,4086,False
fernandoreino,98,12264,616,False
ECU911Austro,762,126205,3933,False
epiove,1113,1419,7518,False
DianiRomeroS,298,168,11849,False
gabbydiazart,161,117,123,False
SR___99,141,111,2476,False
carriongaby,701,919,13874,False
schmillinskyb,77,271,18764,False
chasetheHYPE,660,608,40019,False
LorenaDurazno1,378,96,294,False
guaman_paula,10,0,275,False
oswil2,724,61,948,False
agua_helada,642,145,295,False
JuanCorchuelo3,135,10,447,False
ovalerog,401,325,25800,False
juan_campov,4714,4147,27294,False
BRAAPPmotos,138,150,7,False
tmj_ecu_jobs,485,584,0,False
JorgeUgarteQ,192,477,1550,False
seb9498,289,23,100,False
kukoulloa,880,854,1271,False
pusobailon,734,327,8965,False
tabatalarab,349,22,101,False
veerooniicaac,368,215,1439,False
Ivanfeicanm2,16,23,490,False
javimonza,523,386,232,False
HidroEc,537,114,375,False
emov_ep,954,31392,5165,False
KariiCastro_,2554,2470,69,False
MemesCuenquita,54,391,403,False
