screen_name,following,followers,favourites_count,verified
jeffreymundial,603,1327,85,False
dhanna,992,11766,38787,False
WhympperB,181,181,14830,False
AlexanderGouss1,153,18,184,False
giovannialv,2256,566,152,False
agmoncayo,507,521,1205,False
Elizabe93733579,45,64,577,False
oasis_gye,4566,4213,557,False
anaparragaprado,96,34,4614,False
jedi_re,1801,298,13661,False
BetoYr,707,532,12523,False
andre_chay,60,244,9,False
djnelsonx,631,343,2693,False
maemily10,2704,1643,14792,False
rpalaciosdillon,136,71,5146,False
sebastianbander,136,214,33,False
chriszam23,739,572,5240,False
CatMailsa,52,65,3844,False
melissaszamorah,281,589,6402,False
Motormacsa,4853,1356,94,False
shotauke_y_seme,1707,349,59951,False
micho_sg,248,284,1108,False
DanielDann12,648,203,489,False
July_m1,609,842,5508,False
fernandorozcom,5003,715,13993,False
Marcelo76798535,473,60,5859,False
Ninoskiita_,505,422,2065,False
juanmirgar,296,195,2685,False
natyco,2640,2279,7707,False
chrisfofi,497,181,1302,False
serviplatinium,526,528,1572,False
mimayris,1063,338,2239,False
AdriOsorioLuna,895,6874,5360,False
estebanpuente28,2033,642,8044,False
Jsantos41905033,380,57,10,False
teresa420_,85,201,27467,False
TatianaRodrigz,575,3027,355,False
Colorito82,662,7487,6043,False
jimmyfalcones7,86,19,927,False
radio_sucre700,887,63787,752,False
EmiliaNaviaC,120,161,4395,False
TrendsEcuador,4497,36748,1,False
GustConchas,67,130,2312,False
jccedenog,703,1639,12891,False
christianbanda9,1023,638,2722,False
Pub39,5526,5189,109,False
PabloCastilloM,2579,605,10541,False
Angel_Mariduena,1531,1011,2252,False
Deuteros1974,1696,2689,96614,False
srapotts_,329,13737,30627,False
KizunaKiznaiver,580,2253,2069,False
melocotonkol,201,190,60,False
reservas_vip,271,547,2292,False
IneesGavilanes,389,1603,1155,False
JoseKarlos11,763,327,1755,False
jblakman,470,552,880,False
Villamacias,799,1098,53903,False
velasmiri,132,35,238,False
RP_beaeli,567,227,45880,False
luishum22895763,651,107,19370,False
elsolitoX,361,2115,32876,False
gardfieldking,1197,140,5703,False
Sashiitalove,818,820,4292,False
joseluiszapata1,362,493,306,False
ElChemarcelo_ec,405,881,180,False
criistopp,829,423,7584,False
mariajo13220141,27,2,7,False
Jeehncrys,522,1219,4261,False
diegomino,794,3680,616,False
Yanathy,684,518,169,False
DaniellaMunozA,420,364,6149,False
iDariio,83,705,3559,False
JAO_xlr,596,587,1006,False
ColdasiceV,2202,744,25707,False
MUMG1,2404,3237,368,False
MalenaNoMilena,983,2550,9637,False
sireliasgarcia,278,364,630,False
chrisjav_9,2773,1169,11935,False
Ibelizavera,1496,854,4462,False
DarylMaldonado,570,859,9668,False
rafamarmolr,118,118,53,False
MarceloGuevara7,816,1757,19943,False
nutriocupaEC,70,20,18,False
ChuchitoShow,2574,1847,2668,False
kevinArvalo,393,168,2213,False
Vic_Alvarado,2324,1191,5540,False
aq2479,249,381,67,False
NicoLeiva90,898,891,2397,False
LlYoly,1070,129,126,False
sandrayepez1,2214,1907,23999,False
DomenikImbert,148,407,15596,False
CaprichosaSport,132,121,98,False
gellibert,613,581,2039,False
CabreraOskr,1175,1497,1498,False
gallardogerman,442,24853,2583,False
LuqueCoron,49,12,95,False
LuisMongeE,630,18167,41159,False
ariannash71,333,1202,3731,False
nila_mora,1472,2012,16435,False
lfvalarezo,226,223,1347,False
BrasaMaster,59,209,166,False
domenicamo_,38,33,24,False
UniformadosEcua,175,2384,68,False
gabosilvam,343,60,480,False
XimudioBcn,2417,1820,521,False
2fMarcia,315,1113,4190,False
juancar04089369,1048,342,1964,False
Andresilval,845,2861,6128,False
corp_clean,130,182,296,False
RastaBsc,475,577,15837,False
loorvelezgina,596,211,15,False
eame1983,1006,267,1184,False
demijaramillo,840,1016,4578,False
fescobar75,77,41,1030,False
NelsonTapiaRios,298,14481,6454,False
diegojrm8,109,180,468,False
patinoicaza,1127,900,27677,False
ovqgye,1437,358,11117,False
GloriaMoralesR,916,6323,1018,False
CINOGILDA,14,247,87320,False
juancarlosgye,282,2163,2672,False
jekillsreturn,1006,1891,93260,False
karenvive,651,693,819,False
mr_henrywar,504,262,201,False
piecicolores,466,159,752,False
Kevin5013HD,440,285,2221,False
bosscec,1863,764,4847,False
Fnandareyes,281,182,1084,False
juanjoseperezz,525,389,2178,False
jemelendezv,528,163,2025,False
DAYI65645137,31,1859,0,False
migueviejo,463,524,2804,False
JuanJoseSabando,798,549,2521,False
marie_mariangel,574,610,67975,False
wladdiespin,1931,1029,1537,False
jeanpierre31,140,213,579,False
dracarlatorres,1001,180,2205,False
Rotofest,1967,2072,9190,False
Tatidiazcha,34,45,6810,False
Josselyn_EA,370,605,15232,False
VandydStore,258,260,604,False
ariannaportilla,186,96,1255,False
fermosan_tires,3185,412,17714,False
noti_f1,463,388,200,False
alexadrianpana1,4799,3205,9831,False
VIANYBRUJIS,265,309,16002,False
detallitospe,939,1430,8,False
fabrizio_213,203,421,370,False
edyrivera74,729,393,44911,False
Ronaldpinc,157,421,567,False
saimitothebest,792,78,12,False
Big_Thor,615,313,7264,False
RoddyLopz,2341,2703,10069,False
GuanitoursEC,2460,3680,103,False
MariuxiAdum,487,493,1541,False
tenebrarum2012,269,34,192,False
luiscomo,364,86,239,False
LaGaonaa,79,11,27,False
SorayaOliveros,688,385,13904,False
HctorMosquera6,100,57,4503,False
Danukito,467,633,1833,False
michelledillon7,358,559,1154,False
DeiviChase,355,442,312,False
fadelxavib,852,152,191,False
LINCE_Fox3,369,282,12441,False
BStefy97,117,559,758,False
Lider_Armando,792,697,1346,False
anaisquiroga,355,1044,285,False
Leuris,457,835,6520,False
alexisolivo,2338,867,49017,False
iServicesEC,571,7396,638,False
MargaritaCherrz,3365,12012,13959,False
CarlosPignatar1,1992,113,10919,False
KowAlsKcaLderOn,376,642,93,False
xavier0387,1349,744,1199,False
acorbanec,1487,1748,2522,False
JohnFarfan94,239,486,169,False
ThalyOleas,426,546,3626,False
Jose_Geek,1769,843,3867,False
workaholic76,1062,139,2137,False
Alexanderc0997,139,90,1509,False
FranciscoYcazaS,530,798,21403,False
sibi_raul,890,316,5030,False
AmilkaHurtado,221,53,2146,False
ade_9709,95,240,6039,False
TheDrKostka,1638,1929,4066,False
Yoya9510,313,242,563,False
dadapabri,120,50,2626,False
ElAbogadoFeroz,819,2763,54100,False
pafloru,470,315,5896,False
adrian_herasf,721,416,13773,False
Li_mcr,516,548,11387,False
The_Blue_Walker,753,2796,2583,False
goleadorazul,29,35,35,False
eMIhoOker20,1766,773,24818,False
PedroABriones1,167,13,722,False
LustyKane,289,99,551,False
francisk_su,69,174,11273,False
jfalarcon27,915,703,696,False
kylenejuve,209,200,904,False
guido_chiriboga,1322,703,1717,False
emitouuu,1367,1094,1839,False
JosueMilito97,963,1332,44599,False
byrondanielcm,115,30,136,False
iJorge7,462,291,702,False
mfaspiazuf,228,47,92,False
carlo19482,132,51,12206,False
Kathie_AR,173,12298,23886,False
jburbano82,2876,998,8036,False
omarxin,109,104,1563,False
Bln8Competencia,42,62331,650,False
jurual5,392,113,15204,False
MayCoxA,320,388,409,False
ccarrasco750,2253,13348,10843,False
franklinarriaga,583,686,45990,False
jvaleroc,836,476,13271,False
YelenaValeria_,805,528,3605,False
Vctor72314587,400,335,152202,False
DAMASIOSANTOS,1691,2038,16356,False
JaviCastroC18,975,871,36862,False
perealanr,542,387,35892,False
mayrabravopanta,205,143,3084,False
jeffosmith1211,92,87,1444,False
BhaktiOm,486,585,6,False
Rmoralesverduga,1963,12363,6648,False
jersonruiz,192,8373,4412,False
danielbailon96,1692,449,120083,False
DaniielaMilling,654,2980,520,False
DinaMacas,5,0,1,False
ruthyburgos25,188,301,1114,False
NorysVidal21,94,0,35,False
GabyJFloresM,1772,896,2823,False
GermanAnda,1464,3887,183,False
ec_marquinho,205,63,68,False
mariomashi,112,300,3346,False
Jenni13012001,645,23,9162,False
danieelaromaan_,280,445,4236,False
danielrugel77,221,232,2123,False
manusalto,52,54,64,False
ireavalos,610,666,4724,False
ma_mercedesmg,290,322,2827,False
Edga_0970,653,5987,602,False
JCMusicales,497,205,8,False
VeritoDurazno,302,418,1888,False
Farid_Delgado,168,458,662,False
faustov3la,215,365,3358,False
a_gonzabay,2841,385,21645,False
ChilanJohn,192,100,8327,False
RubenMendozaE,429,608,1430,False
flachi_87,211,383,265,False
davidaguirre1,2035,52112,5702,False
Lucabot25,610,13334,8116,False
TitoMite,193,2801,423,False
feeltheflight,1709,603,4225,False
